Age,Gender,"The ""Big One"" experiencing possible"
Very worried,Very worried,Not so familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Very familiar
Somewhat worried,Not so worried,Not so familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not so worried,Somewhat familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not at all worried,Not at all worried,Not so familiar
Somewhat worried,Somewhat worried,Very familiar
Somewhat worried,Very worried,Very familiar
Not so worried,Somewhat worried,Not so familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Somewhat worried,Very worried,Very familiar
Not at all worried,Not at all worried,Not so familiar
Somewhat worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Somewhat worried,Somewhat worried,Not at all familiar
Somewhat worried,Not so worried,Extremely familiar
Not so worried,Somewhat worried,Somewhat familiar
Not so worried,Somewhat worried,Not so familiar
Not so worried,Not so worried,Very familiar
Not at all worried,Not at all worried,Not so familiar
Very worried,Very worried,Not at all familiar
Not at all worried,Not at all worried,Not so familiar
Not so worried,Not at all worried,Extremely familiar
Not so worried,Not so worried,Somewhat familiar
Not so worried,Not at all worried,Not so familiar
Not so worried,Not so worried,Not at all familiar
Somewhat worried,Not so worried,Very familiar
Not at all worried,Not so worried,Somewhat familiar
Not so worried,Not at all worried,Not so familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Very familiar
Not so worried,Not so worried,Not at all familiar
Extremely worried,Extremely worried,Not at all familiar
Not at all worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Extremely familiar
Not at all worried,Not at all worried,Very familiar
Not so worried,Not so worried,Not at all familiar
Somewhat worried,Somewhat worried,Not so familiar
Somewhat worried,Extremely worried,Somewhat familiar
Somewhat worried,Very worried,Not so familiar
Not so worried,Very worried,Very familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Somewhat worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Very worried,Very worried,Not so familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not so worried,Somewhat worried,Not so familiar
Not at all worried,Not at all worried,Not so familiar
Not at all worried,Not so worried,Not so familiar
Very worried,Very worried,Extremely familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Somewhat worried,Very familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not at all worried,Not at all worried,Not at all familiar
Very worried,Somewhat worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Somewhat worried,Not so worried,Not so familiar
Somewhat worried,Somewhat worried,Very familiar
Not so worried,Somewhat worried,Somewhat familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Extremely familiar
Not at all worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Very worried,Extremely worried,Not at all familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Somewhat worried,Very familiar
Somewhat worried,Somewhat worried,Not so familiar
Somewhat worried,Somewhat worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Not at all worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Somewhat worried,Somewhat familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Extremely familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Not so familiar
Somewhat worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Not at all familiar
Extremely worried,Extremely worried,Extremely familiar
Not so worried,Somewhat worried,Not at all familiar
Not so worried,Not so worried,Extremely familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Somewhat worried,Extremely familiar
Somewhat worried,Very worried,Very familiar
Not at all worried,Not at all worried,Extremely familiar
Not at all worried,Not at all worried,Somewhat familiar
Extremely worried,Very worried,Not so familiar
Not so worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Very familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Not so familiar
Very worried,Not at all worried,Not at all familiar
Somewhat worried,Somewhat worried,Extremely familiar
Not at all worried,Not so worried,Somewhat familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Somewhat worried,Somewhat worried,Very familiar
Very worried,Very worried,Extremely familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Somewhat familiar
Somewhat worried,Not so worried,Somewhat familiar
Not so worried,Not at all worried,Somewhat familiar
Not so worried,Somewhat worried,Very familiar
Not at all worried,Not at all worried,Extremely familiar
Not at all worried,Extremely worried,Not at all familiar
Somewhat worried,Very worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Not so familiar
Not so worried,Not so worried,Not so familiar
Extremely worried,Extremely worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not at all worried,Not at all familiar
Extremely worried,Extremely worried,Not at all familiar
Very worried,Very worried,Very familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Somewhat worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Very familiar
Very worried,Very worried,Not at all familiar
Not at all worried,Not so worried,Somewhat familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Somewhat familiar
Not so worried,Somewhat worried,Somewhat familiar
Not so worried,Somewhat worried,Somewhat familiar
Extremely worried,Extremely worried,Extremely familiar
Not at all worried,Not at all worried,Not so familiar
Not so worried,Not so worried,Not so familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not at all worried,Somewhat worried,Not so familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Not so worried,Somewhat familiar
Extremely worried,Extremely worried,Extremely familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Not so worried,Somewhat familiar
Somewhat worried,Somewhat worried,Very familiar
Not so worried,Not so worried,Not so familiar
Extremely worried,Extremely worried,Very familiar
Not so worried,Somewhat worried,Somewhat familiar
Very worried,Extremely worried,Not so familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Somewhat worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Very worried,Very worried,Not so familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Extremely familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not so worried,Not so worried,Extremely familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Not so worried,Somewhat familiar
Extremely worried,Not at all worried,Extremely familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not at all worried,Not at all familiar
Extremely worried,Extremely worried,Somewhat familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Extremely worried,Not so familiar
Somewhat worried,Not so worried,Somewhat familiar
Not so worried,Not so worried,Very familiar
Not so worried,Extremely worried,Very familiar
Not at all worried,Not at all worried,Extremely familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Not so worried,Not so familiar
Very worried,Very worried,Not so familiar
Not so worried,Somewhat worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Not so familiar
Somewhat worried,Not so worried,Not at all familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not at all worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Not so familiar
Not so worried,Not so worried,Not at all familiar
Somewhat worried,Extremely worried,Extremely familiar
Not so worried,Not so worried,Not so familiar
Extremely worried,Extremely worried,Somewhat familiar
Extremely worried,Extremely worried,Not so familiar
Somewhat worried,Very worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not at all worried,Somewhat familiar
Not at all worried,Not at all worried,Not so familiar
Not at all worried,Not at all worried,Extremely familiar
Not at all worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Extremely worried,Extremely worried,Extremely familiar
Not at all worried,Not at all worried,Not so familiar
Somewhat worried,Somewhat worried,Not at all familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Somewhat worried,Not so familiar
Not so worried,Not so worried,Extremely familiar
Not at all worried,Not at all worried,Extremely familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Not so familiar
Somewhat worried,Somewhat worried,Very familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Somewhat worried,Not so worried,Not so familiar
Somewhat worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Somewhat worried,Somewhat worried,Very familiar
Not at all worried,Not at all worried,Very familiar
Somewhat worried,Somewhat worried,Very familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Somewhat worried,Somewhat worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Somewhat worried,Somewhat worried,Not so familiar
Not at all worried,Not at all worried,Not so familiar
Very worried,Very worried,Extremely familiar
Extremely worried,Extremely worried,Not so familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not at all worried,Not at all worried,Extremely familiar
Not so worried,Not so worried,Extremely familiar
Not at all worried,Not at all worried,Not so familiar
Somewhat worried,Very worried,Not so familiar
Not so worried,Not so worried,Somewhat familiar
Very worried,Very worried,Somewhat familiar
Somewhat worried,Somewhat worried,Not at all familiar
Not so worried,Not at all worried,Somewhat familiar
Not so worried,Not so worried,Not so familiar
Somewhat worried,Somewhat worried,Very familiar
Not so worried,Somewhat worried,Not at all familiar
Not at all worried,Not at all worried,Not so familiar
Not so worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Extremely familiar
Not at all worried,Not so worried,Extremely familiar
Somewhat worried,Very worried,Extremely familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Not at all worried,Not so familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Very familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Very familiar
Somewhat worried,Very worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Somewhat worried,Not so worried,Not at all familiar
Somewhat worried,Somewhat worried,Not at all familiar
Somewhat worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Not at all worried,Not so worried,Extremely familiar
Not at all worried,Not at all worried,Very familiar
Extremely worried,Extremely worried,Not at all familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Not so worried,Not so familiar
Not at all worried,Not at all worried,Somewhat familiar
Extremely worried,Extremely worried,Extremely familiar
Not so worried,Not so worried,Not so familiar
Not so worried,Not so worried,Extremely familiar
Somewhat worried,Very worried,Not so familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not at all worried,Not at all familiar
Not at all worried,Not at all worried,Not so familiar
Not so worried,Somewhat worried,Not so familiar
Not so worried,Not so worried,Not at all familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Not so worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Somewhat familiar
Somewhat worried,Somewhat worried,Somewhat familiar
Not at all worried,Not at all worried,Not at all familiar
Not so worried,Not so worried,Somewhat familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Not at all worried,Somewhat familiar
Not at all worried,Not at all worried,Not so familiar
Not so worried,Somewhat worried,Somewhat familiar
Not so worried,Extremely worried,Somewhat familiar
Not at all worried,Not so worried,Somewhat familiar
